" ","patent_parties","patents_granted","inventors","owners","applicants","emp_patenting_ind","wages_paid_patenting_ind","exports_all_countries","exports_united_states","exports_china","exports_mexico","exports_united_kingdom","exports_japan","exports_germany","exports_south_korea","exports_italy","exports_france","exports_netherlands","exports_belgium","exports_spain","exports_hong_kong","exports_brazil","exports_algeria","exports_norway","exports_india","exports_switzerland","exports_saudi_arabia","exports_turkiye","exports_taiwan","exports_peru","exports_australia","exports_iraq","exports_indonesia","exports_singapore","exports_russian_federation","exports_other_countries","imports_all_countries","imports_united_states","imports_china","imports_mexico","imports_united_kingdom","imports_japan","imports_germany","imports_south_korea","imports_italy","imports_france","imports_netherlands","imports_belgium","imports_spain","imports_hong_kong","imports_brazil","imports_algeria","imports_norway","imports_india","imports_switzerland","imports_saudi_arabia","imports_turkiye","imports_taiwan","imports_peru","imports_australia","imports_iraq","imports_indonesia","imports_singapore","imports_russian_federation","imports_other_countries","total_pop","total_emp","total_full_emp","total_part_emp","total_unem","total_emp_rate","total_wage","total_wage_males","total_wage_females","total_avg_wage","total_median_wage","total_usual_hours","total_actual_hours","total_avg_tenure","total_bankruptcies","total_insolvencies","emp_males","emp_females","emp_goods","emp_agriculture","emp_natural_resources","emp_utilities","emp_construction","emp_manufacturing","emp_services","emp_wholesale_and_retail","emp_transportation","emp_finance","emp_business","emp_professional","emp_education","emp_healthcare","emp_media","emp_food","emp_other","emp_public","avg_wage_males","avg_wage_females","median_wage_males","median_wage_females","median_wage_goods","median_wage_agriculture","median_wage_natural_resources","median_wage_utilities","median_wage_construction","median_wage_manufacturing","median_wage_services","median_wage_wholesale_and_retail","median_wage_transportation","median_wage_finance","median_wage_business","median_wage_professional","median_wage_education","median_wage_healthcare","median_wage_media","median_wage_food","median_wage_other","median_wage_public","new_housing_price_index","wages_paid_goods","wages_paid_agriculture","wages_paid_natural_resources","wages_paid_utilities","wages_paid_construction","wages_paid_manufacturing","wages_paid_services","wages_paid_wholesale_and_retail","wages_paid_transportation","wages_paid_finance","wages_paid_business","wages_paid_professional","wages_paid_education","wages_paid_healthcare","wages_paid_media","wages_paid_food","wages_paid_other","wages_paid_public","average_usual_hours","average_usual_hours_males","average_usual_hours_females","average_actual_hours","average_actual_hours_males","average_actual_hours_females","retail_sales","wholesale_sales","manufacturing_sales"
"exports_mexico",".63",".85",".74",".44",".69",".80",".80",".88",".84",".40","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_united_kingdom",".60",".77",".70",".43",".67",".73",".73",".74",".69",".15",".77","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_japan",".22",".30",".26",".15",".24",".35",".34",".32",".25",".67",".23",".13","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_germany",".65",".68",".74",".49",".70",".81",".81",".71",".66",".25",".73",".70",".24","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_south_korea",".24",".31",".29",".15",".27",".38",".38",".31",".24",".73",".22",".14",".82",".27","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_italy",".50",".54",".58",".36",".55",".58",".58",".56",".51",".26",".59",".57",".31",".63",".23","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_france",".58",".55",".63",".47",".59",".70",".71",".56",".52",".24",".60",".41",".13",".71",".19",".47","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_netherlands",".56",".48",".63",".44",".60",".58",".58",".49",".44",".32",".48",".36",".23",".60",".29",".49",".67","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_belgium",".51",".59",".59",".36",".54",".67",".67",".61",".55",".30",".68",".51",".25",".68",".23",".61",".68",".58","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_spain",".38",".29",".43",".29",".40",".40",".41",".31",".28",".16",".36",".20",".05",".47",".12",".35",".63",".55",".52","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_hong_kong",".44",".60",".53",".30",".50",".57",".57",".58",".55",".18",".59",".64",".18",".53",".17",".46",".30",".26",".43",".15","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_brazil",".22",".29",".25",".17",".23",".32",".32",".30",".25",".37",".38",".21",".24",".29",".19",".31",".35",".26",".40",".19",".16","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_algeria","-.06","-.02","-.07","-.06","-.07","-.07","-.07",".01","-.01",".19",".11","-.05",".01","-.05","-.07",".09",".04",".03",".17",".08","-.06",".40","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_norway",".67",".70",".73",".56",".69",".73",".73",".73",".71",".13",".71",".82",".10",".64",".13",".47",".39",".35",".46",".19",".60",".19","-.05","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_india",".10",".21",".16",".01",".11",".23",".23",".21",".14",".57",".28",".13",".40",".21",".44",".23",".23",".21",".29",".14",".12",".47",".27",".10","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_switzerland",".50",".53",".55",".40",".52",".58",".58",".51",".48",".23",".54",".42",".14",".49",".23",".32",".53",".42",".49",".41",".37",".21","-.01",".47",".17","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_saudi_arabia",".34",".51",".42",".21",".39",".49",".49",".52",".49",".14",".57",".64",".12",".55",".12",".46",".28",".24",".34",".14",".57",".14","-.03",".52",".12",".19","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_turkiye",".17",".24",".24",".09",".19",".31",".31",".25",".20",".36",".35",".17",".23",".35",".24",".36",".45",".37",".46",".32",".13",".41",".23",".14",".42",".27",".15","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_taiwan",".32",".32",".35",".25",".35",".42",".41",".35",".29",".65",".21",".20",".81",".30",".83",".27",".17",".31",".23",".11",".22",".14","-.10",".19",".39",".22",".15",".20","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_peru",".13",".33",".19",".03",".15",".23",".23",".37",".34",".48",".47",".17",".23",".16",".13",".26",".22",".13",".31",".10",".15",".52",".42",".15",".41",".15",".13",".32",".09","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_australia",".74",".76",".79",".63",".77",".85",".85",".79",".76",".44",".73",".60",".42",".69",".43",".50",".64",".51",".60",".38",".46",".34","-.02",".61",".28",".54",".39",".30",".45",".29","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_iraq",".09",".20",".12",".04",".11",".14",".14",".22",".21",".18",".25",".12",".08",".10",".05",".13",".11",".09",".17",".05",".11",".12",".11",".10",".11",".07",".13",".06",".04",".16",".20","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_indonesia","-.02",".13",".02","-.08","-.01",".08",".08",".18",".13",".52",".28",".02",".31",".06",".22",".16",".12",".08",".25",".03",".03",".59",".52",".01",".53",".05",".05",".34",".15",".61",".17",".19","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_singapore",".57",".69",".66",".41",".63",".72",".72",".69",".66",".38",".70",".51",".27",".66",".31",".46",".65",".53",".62",".42",".48",".25","-.04",".47",".20",".51",".37",".31",".31",".28",".65",".20",".13","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_russian_federation",".53",".57",".57",".43",".55",".62",".62",".57",".54",".26",".55",".43",".16",".53",".18",".36",".55",".48",".45",".31",".33",".29","-.01",".45",".15",".38",".31",".26",".19",".20",".57",".22",".12",".52","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
